child_method_id,child_title,child_stage,parent_method_id,parent_title,parent_stage,family_name,relationship,confidence,evidence
m10697,Bastow Little Bob Doubles,5,m10473,Bastow Little Bob Minimus,4,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m11927,Bastow Little Bob Minor,6,m10473,Bastow Little Bob Minimus,4,Bastow,extension,high,"Preserved front work (75%), valid lead progression (4->4), matching Bob"
m10258,Bastow Little Bob Triples,7,m10473,Bastow Little Bob Minimus,4,Bastow,name_only,high,Incompatible hunt count (1 vs 2)
m13657,Bastow Little Bob Major,8,m10473,Bastow Little Bob Minimus,4,Bastow,extension,high,"Preserved front work (75%), valid lead progression (4->4), matching Bob"
m13893,Bastow Little Bob Caters,9,m10473,Bastow Little Bob Minimus,4,Bastow,name_only,high,Incompatible hunt count (1 vs 2)
m14015,Bastow Little Bob Royal,10,m10473,Bastow Little Bob Minimus,4,Bastow,extension,high,"Preserved front work (75%), valid lead progression (4->4), matching Bob"
m14225,Bastow Little Bob Cinques,11,m10473,Bastow Little Bob Minimus,4,Bastow,name_only,high,Incompatible hunt count (1 vs 2)
m14245,Bastow Little Bob Maximus,12,m10473,Bastow Little Bob Minimus,4,Bastow,extension,high,"Preserved front work (75%), valid lead progression (4->4), matching Bob"
m29720,Bastow Little Bob Fourteen,14,m10473,Bastow Little Bob Minimus,4,Bastow,extension,high,"Preserved front work (75%), valid lead progression (4->4), matching Bob"
m14277,Bastow Little Bob Sixteen,16,m10473,Bastow Little Bob Minimus,4,Bastow,extension,high,"Preserved front work (75%), valid lead progression (4->4), matching Bob"
m11927,Bastow Little Bob Minor,6,m10697,Bastow Little Bob Doubles,5,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m10258,Bastow Little Bob Triples,7,m10697,Bastow Little Bob Doubles,5,Bastow,extension,high,"Preserved front work (100%), valid lead progression (6->6), matching Bob"
m13657,Bastow Little Bob Major,8,m10697,Bastow Little Bob Doubles,5,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m13893,Bastow Little Bob Caters,9,m10697,Bastow Little Bob Doubles,5,Bastow,extension,high,"Preserved front work (100%), valid lead progression (6->6), matching Bob"
m14015,Bastow Little Bob Royal,10,m10697,Bastow Little Bob Doubles,5,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m14225,Bastow Little Bob Cinques,11,m10697,Bastow Little Bob Doubles,5,Bastow,extension,high,"Preserved front work (100%), valid lead progression (6->6), matching Bob"
m14245,Bastow Little Bob Maximus,12,m10697,Bastow Little Bob Doubles,5,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m29720,Bastow Little Bob Fourteen,14,m10697,Bastow Little Bob Doubles,5,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m14277,Bastow Little Bob Sixteen,16,m10697,Bastow Little Bob Doubles,5,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m10258,Bastow Little Bob Triples,7,m11927,Bastow Little Bob Minor,6,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m13657,Bastow Little Bob Major,8,m11927,Bastow Little Bob Minor,6,Bastow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
m13893,Bastow Little Bob Caters,9,m11927,Bastow Little Bob Minor,6,Bastow,name_only,high,Incompatible hunt count (1 vs 2)
m14015,Bastow Little Bob Royal,10,m11927,Bastow Little Bob Minor,6,Bastow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
m14225,Bastow Little Bob Cinques,11,m11927,Bastow Little Bob Minor,6,Bastow,name_only,high,Incompatible hunt count (1 vs 2)
m14245,Bastow Little Bob Maximus,12,m11927,Bastow Little Bob Minor,6,Bastow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
m29720,Bastow Little Bob Fourteen,14,m11927,Bastow Little Bob Minor,6,Bastow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
m14277,Bastow Little Bob Sixteen,16,m11927,Bastow Little Bob Minor,6,Bastow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
m13657,Bastow Little Bob Major,8,m10258,Bastow Little Bob Triples,7,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m13893,Bastow Little Bob Caters,9,m10258,Bastow Little Bob Triples,7,Bastow,extension,high,"Preserved front work (100%), valid lead progression (6->6), matching Bob"
m14015,Bastow Little Bob Royal,10,m10258,Bastow Little Bob Triples,7,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m14225,Bastow Little Bob Cinques,11,m10258,Bastow Little Bob Triples,7,Bastow,extension,high,"Preserved front work (100%), valid lead progression (6->6), matching Bob"
m14245,Bastow Little Bob Maximus,12,m10258,Bastow Little Bob Triples,7,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m29720,Bastow Little Bob Fourteen,14,m10258,Bastow Little Bob Triples,7,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m14277,Bastow Little Bob Sixteen,16,m10258,Bastow Little Bob Triples,7,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m13893,Bastow Little Bob Caters,9,m13657,Bastow Little Bob Major,8,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m14015,Bastow Little Bob Royal,10,m13657,Bastow Little Bob Major,8,Bastow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
m14225,Bastow Little Bob Cinques,11,m13657,Bastow Little Bob Major,8,Bastow,name_only,high,Incompatible hunt count (1 vs 2)
m14245,Bastow Little Bob Maximus,12,m13657,Bastow Little Bob Major,8,Bastow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
m29720,Bastow Little Bob Fourteen,14,m13657,Bastow Little Bob Major,8,Bastow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
m14277,Bastow Little Bob Sixteen,16,m13657,Bastow Little Bob Major,8,Bastow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
m14015,Bastow Little Bob Royal,10,m13893,Bastow Little Bob Caters,9,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m14225,Bastow Little Bob Cinques,11,m13893,Bastow Little Bob Caters,9,Bastow,extension,high,"Preserved front work (100%), valid lead progression (6->6), matching Bob"
m14245,Bastow Little Bob Maximus,12,m13893,Bastow Little Bob Caters,9,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m29720,Bastow Little Bob Fourteen,14,m13893,Bastow Little Bob Caters,9,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m14277,Bastow Little Bob Sixteen,16,m13893,Bastow Little Bob Caters,9,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m14225,Bastow Little Bob Cinques,11,m14015,Bastow Little Bob Royal,10,Bastow,name_only,high,Dissimilar notation (0% front work) despite shared name
m14245,Bastow Little Bob Maximus,12,m14015,Bastow Little Bob Royal,10,Bastow,extension,high,"Preserved front work (100%), valid lead progression (4->4), matching Bob"
