domain,raw_term,canonical_term,category,evidence_count,source_examples,notes
dedication,S Katharine,Saint Catherine,abbreviation_expansion,17,Dove: Blackrod; Dove: Holt,S -> Saint; Spelling standardized: Katharine -> Catherine
dedication,S Pancras,Saint Pancras,abbreviation_expansion,17,Dove: Arlington; Dove: Kingston near Lewes,S -> Saint
dedication,S Petrock,Saint Petroc,abbreviation_expansion,17,Dove: Egloshayle; Dove: Exeter,S -> Saint; Spelling standardized: Petrock -> Petroc
dedication,St Luke,Saint Luke,abbreviation_expansion,16,MP: Kislingbury; MP: Stoke Prior,St -> Saint
dedication,S Agnes,Saint Agnes,abbreviation_expansion,15,Dove: Cawston; Dove: St Agnes,S -> Saint
dedication,S Guthlac,Saint Guthlac,abbreviation_expansion,15,Dove: Branston; Dove: Fishtoft,S -> Saint
dedication,S Simon & S Jude,Saint Simon and Saint Jude,abbreviation_expansion,15,Dove: Earl Shilton; Dove: East Dean,S -> Saint
dedication,St Chad,Saint Chad,abbreviation_expansion,15,MP: Dunholme; MP: Tushingham,St -> Saint
dedication,St Mark,Saint Mark,abbreviation_expansion,15,MP: Brighton; MP: Winshill,St -> Saint
dedication,Ascension,Ascension,verbatim,14,Towers: Bedmond; Towers: Easington Colliery,Standard dedication
dedication,Cath Ch of S Paul,Cathedral Church of Saint Paul,abbreviation_expansion,14,Dove: Bendigo; Dove: Birmingham,Prefix expanded: ^Cath Ch of\b -> Cathedral Church of; S -> Saint
dedication,S Cadoc,Saint Cadoc,abbreviation_expansion,14,Dove: Caerleon; Dove: Llancarfan,S -> Saint
dedication,S Ethelbert,Saint Ethelbert,abbreviation_expansion,14,Dove: Falkenham; Dove: Herringswell,S -> Saint
dedication,St Mary V,Saint Mary the Virgin,abbreviation_expansion,14,MP: Whiston; MP: Ashley,Qualifier expanded: \bSt Mary V\b -> Saint Mary the Virgin
dedication,Cath Ch of S Peter,Cathedral Church of Saint Peter,abbreviation_expansion,13,Dove: Adelaide; Dove: Armidale,Prefix expanded: ^Cath Ch of\b -> Cathedral Church of; S -> Saint
dedication,S Edward Conf,Saint Edward Conf,abbreviation_expansion,13,Dove: Cheddleton; Dove: Leek,S -> Saint
dedication,S Francis of Assisi,Saint Francis of Assisi,abbreviation_expansion,13,Towers: Barcombe Cross; Towers: Barkingside,S -> Saint
dedication,S Katherine,Saint Catherine,abbreviation_expansion,13,Dove: Loversall; Dove: Netherhampton,S -> Saint; Spelling standardized: Katherine -> Catherine
dedication,S Kenelm,Saint Kenelm,abbreviation_expansion,13,Dove: Church Enstone; Dove: Clifton upon Teme,S -> Saint
dedication,S Petroc,Saint Petroc,abbreviation_expansion,13,Dove: Bodmin; Dove: Hollacombe,S -> Saint
dedication,S Thomas à Becket,Saint Thomas à Becket,abbreviation_expansion,13,Towers: Bassingthorpe; Towers: Bath,S -> Saint
dedication,St Saviour,Saint Saviour,abbreviation_expansion,13,Towers: TowerID 23675; Towers: TowerID 23673,St -> Saint
dedication,St Swithun,Saint Swithin,abbreviation_expansion,13,MP: Woodborough; MP: Shobrooke,St -> Saint; Spelling standardized: Swithun -> Swithin
dedication,Holy Spirit,Holy Spirit,verbatim,12,Towers: Beeston Hill; Towers: Clapham,Standard dedication
dedication,Parish Church,Parish Church,verbatim,12,Dove: Stockton on Tees; Towers: Coppull,Standard dedication
dedication,S Edith,Saint Edith,abbreviation_expansion,12,Dove: Anwick; Dove: Eaton under Heywood,S -> Saint
dedication,S Etheldreda,Saint Etheldreda,abbreviation_expansion,12,Dove: Guilsborough; Dove: Hatfield,S -> Saint
dedication,S Matthias,Saint Matthias,abbreviation_expansion,12,Dove: Burley; Dove: Malvern Link,S -> Saint
dedication,S Olave,Saint Olave,abbreviation_expansion,12,Dove: Fritwell; Dove: London,S -> Saint
dedication,St Stephen,Saint Stephen,abbreviation_expansion,12,MP: Sparsholt; MP: Old Radnor,St -> Saint
dedication,S Anthony,Saint Anthony,abbreviation_expansion,11,Dove: Alkham; Dove: Rotherham,S -> Saint
dedication,S Editha,Saint Editha,abbreviation_expansion,11,Dove: Baverstock; Dove: Church Eaton,S -> Saint
dedication,S John Evan,Saint John Evan,abbreviation_expansion,11,Towers: Bransholme; Towers: Churt,S -> Saint
dedication,S Mary & S Nicholas,Saint Mary and Saint Nicholas,abbreviation_expansion,11,Dove: Beaumaris; Dove: Compton Parva,S -> Saint
dedication,S Mary & S Peter,Saint Mary and Saint Peter,abbreviation_expansion,11,Dove: Harlaxton; Dove: Salcombe Regis,S -> Saint
dedication,S Mary Magdalen,Saint Mary Magdalen,abbreviation_expansion,11,Dove: Oxford; Towers: Accrington,S -> Saint
dedication,St Wilfrid,Saint Wilfrid,abbreviation_expansion,11,Towers: Chichester; MP: Arley,St -> Saint
dedication,Cath Ch of S Andrew,Cathedral Church of Saint Andrew,abbreviation_expansion,10,Dove: Honolulu; Dove: Inverness,Prefix expanded: ^Cath Ch of\b -> Cathedral Church of; S -> Saint
dedication,Mission,Mission,verbatim,10,Dove: TowerID 16421; Towers: Felliscliffe,Standard dedication
dedication,Mission Church,Mission Church,verbatim,10,Towers: Bramshill; Towers: Catherine De Barnes,Standard dedication
dedication,S Agatha,Saint Agatha,abbreviation_expansion,10,Dove: Brightwell; Dove: Portsmouth,S -> Saint
dedication,S Ann,Saint Ann,abbreviation_expansion,10,Dove: Rainhill; Dove: Stamford Hill,S -> Saint
dedication,S Augustine of Canterbury,Saint Augustine of Canterbury,abbreviation_expansion,10,Dove: Burrough Green; Dove: East Hendred,S -> Saint
dedication,S Dubricius,Saint Dubricius,abbreviation_expansion,10,Dove: Ballingham; Dove: Gwenddwr,S -> Saint
dedication,S Mary & S Andrew,Saint Mary and Saint Andrew,abbreviation_expansion,10,Dove: Fletching; Dove: Horsham St Faith,S -> Saint
dedication,S Richard,Saint Richard,abbreviation_expansion,10,Dove: Aldwick; Towers: Aldwick,S -> Saint
dedication,St Botolph,Saint Botolph,abbreviation_expansion,10,MP: Barton Seagrave; MP: Church Brampton,St -> Saint; Spelling standardized: Botolph -> Botolph
dedication,St Cuthbert,Saint Cuthbert,abbreviation_expansion,10,MP: Doveridge; MP: Halsall,St -> Saint
dedication,St Oswald,Saint Oswald,abbreviation_expansion,10,MP: Grasmere; MP: East Stoke,St -> Saint
dedication,St Thomas a Becket,Saint Thomas Becket,spelling_variant,10,MP: Fairfield; MP: Burton le Coggles,Qualifier expanded: \bSt Thomas a Becket\b -> Saint Thomas Becket
dedication,S Andrew & S Mary,Saint Andrew and Saint Mary,abbreviation_expansion,9,Dove: Condover; Dove: Grantchester,S -> Saint
dedication,S Helena,Saint Helen,abbreviation_expansion,9,Dove: Leverton; Dove: South Scarle,S -> Saint; Spelling standardized: Helena -> Helen
dedication,S John of Beverley,Saint John of Beverley,abbreviation_expansion,9,Dove: Harpham; Dove: Scarrington,S -> Saint
dedication,S Mary & S Michael,Saint Mary and Saint Michael,abbreviation_expansion,9,Dove: Egremont; Dove: Mistley,S -> Saint
dedication,S Mildred,Saint Mildred,abbreviation_expansion,9,Dove: Preston; Dove: Tenterden,S -> Saint
dedication,S Remigius,Saint Remigius,abbreviation_expansion,9,Dove: Dunston; Dove: Hethersett,S -> Saint
